BestError tolerance Kp Ki Kd
365 CTE: 0.1267 Steering Value: -0.0742737
366 CTE: 0.1273 Steering Value: -0.062631
367 CTE: 0.1276 Steering Value: -0.0595
368 CTE: 0.1276 Steering Value: -0.0481359
369 CTE: 0.1273 Steering Value: -0.0394688
370 CTE: 0.1266 Steering Value: -0.0240862
371 CTE: 0.1266 Steering Value: -0.0446742
372 CTE: 0.125 Steering Value: 0.011053
373 CTE: 0.125 Steering Value: -0.0389469
374 CTE: 0.1242 Steering Value: -0.0110406
375 CTE: 0.1232 Steering Value: -0.0138713
376 CTE: 0.1221 Steering Value: -0.00287852
377 CTE: 0.121 Steering Value: -0.00114353
378 CTE: 0.1199 Steering Value: 0.00158446
379 CTE: 0.1199 Steering Value: -0.03279
380 CTE: 0.119 Steering Value: -0.00154708
381 CTE: 0.1179 Steering Value: -0.00816044
382 CTE: 0.1169 Steering Value: -0.00218794
383 CTE: 0.1159 Steering Value: 0.000590152
384 CTE: 0.115 Steering Value: -0.00867041
385 CTE: 0.1143 Steering Value: -0.008479
386 CTE: 0.1143 Steering Value: -0.0303534
387 CTE: 0.1155 Steering Value: -0.0701918
388 CTE: 0.1234 Steering Value: -0.272187
389 CTE: 0.1331 Steering Value: -0.3067
390 CTE: 0.1452 Steering Value: -0.455018
391 CTE: 0.1595 Steering Value: -0.487271
392 CTE: 0.1723 Steering Value: -0.547152
393 CTE: 0.1809 Steering Value: -0.40971
394 CTE: 0.1809 Steering Value: -0.156768
395 CTE: 0.166 Steering Value: -0.0207621
396 CTE: 0.1503 Steering Value: 0.41514
397 CTE: 0.1503 Steering Value: -0.075484
398 CTE: 0.133 Steering Value: 0.5633
399 CTE: 0.113 Steering Value: 0.453439
400 CTE: 0.0927 Steering Value: 0.6267
401 CTE: 0.0731 Steering Value: 0.602733
402 CTE: 0.0549 Steering Value: 0.640533
403 CTE: 0.0389 Steering Value: 0.594222
404 CTE: 0.0258 Steering Value: 0.447715
405 CTE: 0.0164 Steering Value: 0.44186
406 CTE: 0.0164 Steering Value: 0.128527
407 CTE: 0.0114 Steering Value: 0.253036
408 CTE: 0.0086 Steering Value: 0.111621
409 CTE: 0.0094 Steering Value: 0.0361913
410 CTE: 0.0128 Steering Value: -0.08193
411 CTE: 0.0183 Steering Value: -0.155551
412 CTE: 0.0183 Steering Value: 0.00621331
413 CTE: 0.03 Steering Value: -0.331629
414 CTE: 0.03 Steering Value: -0.0391287
415 CTE: 0.0346 Steering Value: -0.232256
416 CTE: 0.0396 Steering Value: -0.172859
417 CTE: 0.0434 Steering Value: -0.18655
418 CTE: 0.0463 Steering Value: -0.133088
419 CTE: 0.0463 Steering Value: -0.0477939
420 CTE: 0.0482 Steering Value: -0.0990629
421 CTE: 0.0499 Steering Value: -0.0715892
422 CTE: 0.0509 Steering Value: -0.060852
423 CTE: 0.0513 Steering Value: -0.0383119
424 CTE: 0.0511 Steering Value: -0.0197986
425 CTE: 0.0504 Steering Value: 0.00220379
426 CTE: 0.0494 Steering Value: 0.0140801
427 CTE: 0.0483 Steering Value: 0.0241729
428 CTE: 0.0483 Steering Value: -0.0102017
429 CTE: 0.0472 Steering Value: 0.0315885
430 CTE: 0.046 Steering Value: 0.0252821
431 CTE: 0.0449 Steering Value: 0.0295817
432 CTE: 0.0441 Steering Value: 0.0246648
433 CTE: 0.0436 Steering Value: 0.0103394
434 CTE: 0.0436 Steering Value: -0.00281834
435 CTE: 0.0433 Steering Value: 0.00378753
436 CTE: 0.0432 Steering Value: -0.00682581
437 CTE: 0.0433 Steering Value: -0.00903205
438 CTE: 0.0454 Steering Value: -0.0638016
439 CTE: 0.0478 Steering Value: -0.07917
440 CTE: 0.0608 Steering Value: -0.370457
441 CTE: 0.0608 Steering Value: -0.0283516
442 CTE: 0.0832 Steering Value: -0.577014
443 CTE: 0.0906 Steering Value: -0.205749
444 CTE: 0.1165 Steering Value: -0.622077
445 CTE: 0.1441 Steering Value: -0.54108
446 CTE: 0.1672 Steering Value: -0.631908
447 CTE: 0.1859 Steering Value: -0.614238
448 CTE: 0.1859 Steering Value: -0.170008
449 CTE: 0.1996 Steering Value: -0.618203
450 CTE: 0.2097 Steering Value: -0.43286
451 CTE: 0.2145 Steering Value: -0.315414
452 CTE: 0.2142 Steering Value: -0.144889
453 CTE: 0.2087 Steering Value: 0.0171212
454 CTE: 0.1992 Steering Value: 0.191848
455 CTE: 0.1992 Steering Value: -0.0875622
456 CTE: 0.1887 Steering Value: 0.317177
457 CTE: 0.1751 Steering Value: 0.357175
458 CTE: 0.1614 Steering Value: 0.367085
459 CTE: 0.1484 Steering Value: 0.470544
460 CTE: 0.1367 Steering Value: 0.387001
461 CTE: 0.1367 Steering Value: 0.0428836
462 CTE: 0.1272 Steering Value: 0.366745
463 CTE: 0.1177 Steering Value: 0.204044
464 CTE: 0.1111 Steering Value: 0.270489
465 CTE: 0.1064 Steering Value: 0.163278
466 CTE: 0.1046 Steering Value: 0.0876892
467 CTE: 0.1046 Steering Value: 0.0314396
468 CTE: 0.1044 Steering Value: -0.00338124
469 CTE: 0.1055 Steering Value: -0.033206
470 CTE: 0.1108 Steering Value: -0.195795
471 CTE: 0.1148 Steering Value: -0.155524
472 CTE: 0.1179 Steering Value: -0.177613
473 CTE: 0.1204 Steering Value: -0.128743
474 CTE: 0.1219 Steering Value: -0.113179
475 CTE: 0.1225 Steering Value: -0.0810311
476 CTE: 0.1222 Steering Value: -0.0487213
477 CTE: 0.1222 Steering Value: -0.0575437
478 CTE: 0.1216 Steering Value: -0.0256547
479 CTE: 0.1204 Steering Value: -0.00957281
480 CTE: 0.1189 Steering Value: 0.0020144
481 CTE: 0.1173 Steering Value: 0.0165287
482 CTE: 0.1155 Steering Value: 0.0258468
483 CTE: 0.1155 Steering Value: -0.0304027
484 CTE: 0.1139 Steering Value: 0.0252765
485 CTE: 0.1121 Steering Value: 0.0164862
486 CTE: 0.1104 Steering Value: 0.0262015
487 CTE: 0.1089 Steering Value: 0.0247342
488 CTE: 0.1098 Steering Value: -0.0471004
489 CTE: 0.1166 Steering Value: -0.238277
490 CTE: 0.1166 Steering Value: -0.025776
491 CTE: 0.1219 Steering Value: -0.250371
492 CTE: 0.1329 Steering Value: -0.385436
493 CTE: 0.1433 Steering Value: -0.353806
494 CTE: 0.1499 Steering Value: -0.345252
495 CTE: 0.1533 Steering Value: -0.213816
496 CTE: 0.1533 Steering Value: -0.119371
497 CTE: 0.1538 Steering Value: -0.104605
498 CTE: 0.152 Steering Value: -0.0178349
499 CTE: 0.148 Steering Value: 0.061586
500 CTE: 0.1425 Steering Value: 0.101903
501 CTE: 0.1361 Steering Value: 0.176413
502 CTE: 0.1361 Steering Value: -0.0235861
503 CTE: 0.1301 Steering Value: 0.169932
504 CTE: 0.1231 Steering Value: 0.180482
505 CTE: 0.1168 Steering Value: 0.202716
506 CTE: 0.1116 Steering Value: 0.183036
507 CTE: 0.1081 Steering Value: 0.124978
508 CTE: 0.1081 Steering Value: 0.0156032
509 CTE: 0.1057 Steering Value: 0.0793638
510 CTE: 0.1038 Steering Value: 0.0354465
511 CTE: 0.103 Steering Value: 0.0152217
512 CTE: 0.1029 Steering Value: -0.0162043
513 CTE: 0.1029 Steering Value: -0.019329
514 CTE: 0.1034 Steering Value: -0.0474145
515 CTE: 0.1042 Steering Value: -0.0551989
516 CTE: 0.1052 Steering Value: -0.0675083
517 CTE: 0.1063 Steering Value: -0.0767915
518 CTE: 0.1072 Steering Value: -0.0667652
519 CTE: 0.1079 Steering Value: -0.0686498
520 CTE: 0.1079 Steering Value: -0.045316
521 CTE: 0.1083 Steering Value: -0.0561593
522 CTE: 0.1086 Steering Value: -0.0486591
523 CTE: 0.1085 Steering Value: -0.0382173
524 CTE: 0.1082 Steering Value: -0.029268
525 CTE: 0.1082 Steering Value: -0.0392677
526 CTE: 0.1077 Steering Value: -0.0182213
527 CTE: 0.1069 Steering Value: -0.0133003
528 CTE: 0.1061 Steering Value: -0.0084684
529 CTE: 0.1051 Steering Value: -0.00121276
530 CTE: 0.1041 Steering Value: 0.00197957
531 CTE: 0.1041 Steering Value: -0.02927
532 CTE: 0.1031 Steering Value: 0.00455932
533 CTE: 0.1115 Steering Value: -0.269361
534 CTE: -0.1534 Steering Value: 0.504802
535 CTE: 0.1502 Steering Value: -0.554958
536 CTE: 0.1502 Steering Value: -0.100018
537 CTE: 0.1728 Steering Value: -0.617265
538 CTE: 0.2017 Steering Value: -0.518013
539 CTE: 0.2266 Steering Value: -0.630859
540 CTE: 0.2472 Steering Value: -0.609205
541 CTE: 0.2626 Steering Value: -0.633824
542 CTE: 0.2723 Steering Value: -0.513916
543 CTE: 0.2759 Steering Value: -0.307243
544 CTE: 0.2729 Steering Value: -0.0964333
545 CTE: 0.2729 Steering Value: -0.190182
546 CTE: 0.2657 Steering Value: 0.160202
547 CTE: 0.254 Steering Value: 0.251741
